Agency,CN ID,SON ID,Supplier Name,Supplier ABN,Description,Category,Agency Ref. ID,Publish Date,Start Date,End Date,Value (AUD)
Department of Defence,CN3493590,,PUCH CONSTRUCTION & BUILDING PTY LT,43130181010,Electrical and Hydraulic Works,Building construction and support and maintenance and repair services,4600001174,27-Mar-18,26-Mar-18,31-May-18,"155,768.31"
Department of Defence,CN3493591,,JNJ ELECTRICS PTY LTD,81019818377,Compliance Works,Building construction and support and maintenance and repair services,4600001019,27-Mar-18,21-Mar-18,31-May-19,"2,667,152.61"
Department of Defence,CN3493592,,NATIONAL CONVENTION CENTRE,85050110748,VENUE HIRE AND CATERING,Conference centres,4501042427,27-Mar-18,19-Mar-18,21-Mar-18,"343,200.00"
Department of Defence,CN3493593,,AUSTRALIAN PUBLIC SERVICE,99470863260,Conduct and participation in the APSC Census,Research programs,4501042426,27-Mar-18,7-May-18,17-Aug-18,"20,000.00"
Department of Defence,CN3493594,,LEND LEASE BUILDING CONTRACTORS,56002625130,Managing Contractor Delivery,Building construction and support and maintenance and repair services,4501042419,27-Mar-18,19-Dec-17,30-Jun-27,"649,000.00"
Department of Defence,CN3493595,,SHACKLETON MANAGEMENT SOLUTIONS P/L,77459146748,Naval Workforce Review,Management advisory services,4501042416,27-Mar-18,16-Mar-18,5-Mar-19,"256,399.99"
Department of Defence,CN3493596,,BOYD ROBINSON,23219010871,Naval Workforce Review,Management advisory services,4501042414,27-Mar-18,16-Mar-18,5-Mar-19,"238,239.99"
Department of Defence,CN3493597,,BROADBEAN CATERING PTY LTD,32167766332,Venue Hire and Catering,Banquet and catering services,4501042408,27-Mar-18,16-Mar-18,29-Mar-18,"37,400.00"
Department of Defence,CN3493598,SON2071251,CLARIUS GROUP LIMITED,43002724334,Communication Manager for Collaborative Space Project,Project management,4501042405,27-Mar-18,13-Mar-18,29-Jun-18,"37,477.44"
Department of Defence,CN3493599,,SPOTLESS FACILITY SERVICES PTY LTD,83072293880,Office Refurbishment,Building construction and support and maintenance and repair services,4501042402,27-Mar-18,16-Mar-18,31-May-19,"43,941.63"
Department of Defence,CN3493600,,GRIFFITH UNIVERSITY,78106094461,Research Agreement Services,Professional engineering services,4501042396,27-Mar-18,16-Mar-18,29-Jun-18,"55,552.68"
Department of Defence,CN3493601,,LASTEK PTY LTD,78003032151,Optical components,Measuring and observing and testing instruments,4501042387,27-Mar-18,16-Mar-18,18-Apr-18,"95,595.10"
Department of Defence,CN3493602,SON661641,ETHAN GROUP PTY LTD,93099503456,Computer Equipment,Computer Equipment and Accessories,4501042384,27-Mar-18,16-Mar-18,30-May-18,"51,664.80"
Department of Defence,CN3493603,SON3295723,HP PPS AUSTRALIA PTY LTD,16603480628,Computer Equipment,Computer Equipment and Accessories,4501042380,27-Mar-18,16-Mar-18,30-May-18,"45,566.40"
Department of Defence,CN3493604,SON3295723,DELL AUSTRALIA PTY LIMITED,46003855561,Computer Equipment,Computer Equipment and Accessories,4501042378,27-Mar-18,16-Mar-18,30-May-18,"43,792.32"
Department of Defence,CN3493605,,ULTRA PROJECT SERVICES PTY LTD,39160037230,EST01930 EWP Equipment,Building construction and support and maintenance and repair services,4501042375,27-Mar-18,20-Mar-18,31-May-19,"986,824.30"
Department of Defence,CN3493606,,AUGILITY,87107783675,Project Management,Project management,4501042373,27-Mar-18,15-Mar-18,31-May-19,"218,579.90"
Department of Defence,CN3493607,,AURECON AUSTRALASIA PTY LTD,54005139873,Project Management,Project management,4501042370,27-Mar-18,15-Mar-18,31-May-19,"447,961.80"
Department of Defence,CN3493608,,BOSS NATION PTY LTD,14620888351,Kitchen Refurbishment,Building construction and support and maintenance and repair services,4501042365,27-Mar-18,1-Mar-18,31-May-18,"141,548.00"
Department of Defence,CN3493609,,UNIVERSITY OF ADELAIDE,61249878937,Comparison of Collaborative Localisation Algorithm,Military science and research,4501042364,27-Mar-18,16-Mar-18,11-May-18,"17,995.60"
Department of Defence,CN3493610,,AQUATERRO APS,31064779746,Purchase of Helmet Lights for Amphibious operations in the littoral environment,Personal safety and protection,4501042361,27-Mar-18,16-Mar-18,6-Apr-18,"39,519.70"
Department of Defence,CN3493611,SON661641,ASI SOLUTIONS PTY LTD,40068649972,Computer Equipment,Computer Equipment and Accessories,4501042356,27-Mar-18,16-Mar-18,30-May-18,"48,045.80"
Department of Defence,CN3493612,,DATA ANALYSIS AUSTRALIA PTY LTD,68009304956,DATA ANALYSIS AUSTRALIA,Data services,4501042351,27-Mar-18,19-Mar-18,29-Jun-18,"36,000.00"
Department of Defence,CN3493613,SON3319680,VIVA ENERGY AUSTRALIA LTD,46004610459,ACCESS TO HIGHER PUMING CAPABILITY AT DARWIN INDUSTRY FUEL TERMINAL,Fuels,4501042348,27-Mar-18,16-Mar-18,31-Aug-18,"304,700.00"
Department of Defence,CN3493614,,DIMENSION DATA LEARNING,55133222241,JP2221-1 136 Sig SQN Prerequisite user training for Telecommunications Systems Technicians,Education and Training Services,4501042347,27-Mar-18,16-Mar-18,20-Jul-18,"233,420.00"
Department of Defence,CN3493615,,INNOPLUS GLOBAL PTY LTD,73623026157,Software Maintenance Renewal,Software maintenance and support,4501042346,27-Mar-18,16-Mar-18,19-Apr-19,"34,742.40"
Department of Defence,CN3493616,,UNIVERSITY OF NEW SOUTH WALES,57195873179,Research project,Manufacturing technologies,4501042341,27-Mar-18,16-Mar-18,30-Jun-20,"75,000.00"
Department of Defence,CN3493617,,NTOP SAGL,ABN Exempt,Network Monitoring Solution Software License,Software,4501042339,27-Mar-18,16-Mar-18,19-Feb-19,"24,611.22"
Department of Defence,CN3493618,,AVAYA AUSTRALIA PTY LTD,73092276983,Computer Equipment,Computer Equipment and Accessories,4501042338,27-Mar-18,20-Feb-18,30-May-18,"22,313.81"
Department of Defence,CN3493619,,AUSTRALIAN COMPUTER SOCIETY INC,53156305487,Workforce Planning,Management advisory services,4501042208,27-Mar-18,15-Mar-18,22-Jun-18,"33,990.00"
Department of Defence,CN3493620,,NORTON ROSE FULBRIGHT AUSTRALIA,32720868049,DL0392/2017- Legal Services,Legal services,4501042096,27-Mar-18,9-Mar-18,30-Jun-19,"228,593.20"
Department of Defence,CN3493621,,HAYS SPECIALIST RECRUITMENT,47001407281,Web Design Spealist,Project management,4501042092,27-Mar-18,19-Mar-18,20-Jul-18,"65,835.00"
Department of Defence,CN3493622,,AQUATERRO APS,31064779746,Purchase of protective equipment for use in the li ttoral environment,Safety apparel,4501042091,27-Mar-18,12-Mar-18,30-Mar-18,"98,167.89"
Department of Defence,CN3493623,,CBIT DIGITAL FORENSICS SERVICES,16107115846,Specialist Information Technology Equipment,Software or hardware engineering,4501042088,27-Mar-18,14-Mar-18,25-May-18,"36,696.00"
Department of Defence,CN3493624,,SYDNEY UNITED 58 FC,77585891083,Hire and use of football ground facilities,Clubs,4501042087,27-Mar-18,14-Mar-18,11-Nov-18,"15,300.00"
Department of Defence,CN3493625,,BOX HILL INSTITUTE OF TAFE,76268630462,Provision of Training Services,Education and Training Services,4501042085,27-Mar-18,30-Apr-18,4-May-18,"33,250.00"
Department of Defence,CN3493626,SON3295723,OPC IT PTY LTD,29008657618,Monitors,Computer Equipment and Accessories,4501042080,27-Mar-18,14-Mar-18,16-Apr-18,"20,732.80"
Department of Defence,CN3493627,SON48590,AJILON,25076517354,Management Advisory Services,Business administration services,4501042078,27-Mar-18,14-Mar-18,31-May-18,"69,454.00"
Department of Defence,CN3493628,,ASHURST AUSTRALIA,75304286095,DL0043/2018 - Legal Services,Legal services,4501042077,27-Mar-18,9-Mar-18,30-Jun-18,"55,851.54"
Department of Defence,CN3493629,,WILLYAMA INDIGENOUS ICT SERVICES,21611623575,Services for build and doc of standalone network,Application implementation services,4501042074,27-Mar-18,14-Mar-18,21-Sep-18,"426,974.90"
Department of Defence,CN3493630,,MWAVE,38114422507,IT Consumables,Computer accessories,4501042073,27-Mar-18,14-Mar-18,31-May-18,"34,155.08"
Department of Defence,CN3493631,,BAE SYSTEMS AUSTRALIA LTD,29008423005,Tactical Air Navigation Training Course,Education and Training Services,4501042069,27-Mar-18,18-Jun-18,9-Nov-18,"78,563.95"
Department of Defence,CN3493632,,DEPARTMENT OF TRANSPORT & MAIN,39407690291,Highway Intersection Road Modifications,Roads and landscape,4501042065,27-Mar-18,14-Mar-18,31-May-19,"550,000.00"
Department of Defence,CN3493633,,C.A. PROPERTY GROUP PTY LTD,92094711038,Fire Compliance Works,Building construction and support and maintenance and repair services,4501042064,27-Mar-18,13-Mar-18,31-May-19,"859,255.10"
Department of Defence,CN3493634,,AUGILITY,87107783675,Project Management,Project management,4501042062,27-Mar-18,13-Mar-18,31-May-19,"147,668.40"
Department of Defence,CN3493635,,NATIONAL AUSTRALIA BANK LIMITED,12004044937,Legal Services,Legal services,4501042058,27-Mar-18,19-Mar-18,7-Apr-18,"82,500.00"
Department of Defence,CN3493636,,RED TEAM TRAINING SOLUTIONS PTY,38607411209,HME Training,Education and Training Services,4501042051,27-Mar-18,30-Apr-18,10-May-18,"66,100.00"
Department of Defence,CN3493637,,GRACE RECORDS MANAGEMENT,93097110257,Conversion of physical files to digital format,Document storage services,4501042047,27-Mar-18,21-Mar-18,30-Jun-18,"91,114.27"
Department of Defence,CN3493638,SON2071251,KPMG AUSTRALIA,51194660183,Review Defence Logistics Facilities Wireless Communications Infrastructure Reequirements,Management advisory services,4501042045,27-Mar-18,13-Mar-18,30-Apr-18,"47,240.00"
Department of Defence,CN3493639,,FLINDERS UNIVERSITY,65542596200,remote controlled/Autonomous research platform,Marine craft systems and subassemblies,4501042041,27-Mar-18,13-Mar-18,15-May-18,"93,579.20"
Department of Defence,CN3493640,SON3321881,BP MARINE,53004085616,Marine fuel,Fuels,4501042040,27-Mar-18,13-Mar-18,30-Mar-18,"699,244.92"
Department of Defence,CN3493641,,UNIVERSITY OF SOUTHERN QUEENSLAND,40234732081,Develop cure cycle for out-of-autoclave prepreg,Manufacturing technologies,4501042037,27-Mar-18,13-Mar-18,29-Jun-18,"33,000.00"
Department of Defence,CN3493642,,BOEING DEFENCE AUSTRALIA LTD,64006678119,HVAC Replacement,Heating and ventilation and air circulation,4501042033,27-Mar-18,13-Mar-18,21-Dec-18,"245,403.43"
Department of Defence,CN3493643,,RAYTHEON AUSTRALIA,35063709295,Cisco 2901 Routers,Computer servers,4501042029,27-Mar-18,23-Mar-18,31-Mar-18,"38,535.21"
Department of Defence,CN3493644,,ATLASSIAN PTY LTD,53102443916,Scientific and Research Software,Software,4501042022,27-Mar-18,13-Mar-18,1-Jun-19,"86,733.50"
Department of Defence,CN3493645,SON2922032,LEIDOS PTY LTD,12011071239,ICT Services,Computer services,4501042018,27-Mar-18,1-Apr-18,30-Jun-18,"80,213.76"
Department of Defence,CN3493646,SON3404661,HAYMANS ELECTRICAL,13003762641,Bill of Materials Stores,Electrical equipment and components and supplies,4501042015,27-Mar-18,13-Mar-18,17-Mar-18,"11,470.71"
Department of Defence,CN3493647,,HORIZON ONE RECRUITMENT PTY LTD,98129885838,Project Support for ID&E,Temporary personnel services,4501042013,27-Mar-18,12-Mar-18,20-Jul-18,"49,280.00"
Department of Defence,CN3493648,SON3404661,HAYMANS ELECTRICAL,13003762641,Bill of Materials Stores,Electrical equipment and components and supplies,4501042010,27-Mar-18,13-Mar-18,19-Mar-18,"181,145.87"
Department of Defence,CN3493649,,AFFINITY CONSTRUCTIONS AUSTRALIA,13161165966,Update to physical security requirements,Construction and maintenance support equipment,4501042008,27-Mar-18,6-Mar-18,30-Jun-18,"74,800.00"
Department of Defence,CN3493650,SON3404661,HAYMANS ELECTRICAL,13003762641,Bill of Materials Stores,Electrical equipment and components and supplies,4501042006,27-Mar-18,13-Mar-18,18-Mar-18,"35,352.23"
Department of Defence,CN3493651,,BAC SYSTEMS PTY LTD,77112815200,Workbenches,Commercial and industrial furniture,4501042005,27-Mar-18,12-Mar-18,9-Apr-18,"19,301.70"
Department of Defence,CN3493652,,BAC SYSTEMS PTY LTD,77112815200,Workbenches,Commercial and industrial furniture,4501042003,27-Mar-18,13-Mar-18,9-Apr-18,"30,300.60"
Department of Defence,CN3493653,,INTEGRO LEARNING COMPANY PTY LTD,33167105722,DiSC Credits for running culture development programs through Air Force Adaptive Culture.,Education and Training Services,4501042000,27-Mar-18,13-Mar-18,31-Dec-18,"16,032.50"
Department of Defence,CN3493654,,AUSTRALIAN PUBLIC SERVICE,99470863260,Research Agreement - Trajectory Optimisation,Military science and research,4501041996,27-Mar-18,13-Mar-18,28-Jun-19,"18,150.00"
Department of Defence,CN3493655,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,GROUND FUEL,Fuels,4501041993,27-Mar-18,13-Mar-18,30-Mar-18,"13,619.47"
Department of Defence,CN3493656,SON996701,HEWLETT-PACKARD ENTERPRISE,74004394763,Server Hardware,Computer servers,4501041991,27-Mar-18,13-Mar-18,30-Apr-18,"21,038.71"
Department of Defence,CN3493657,,L S ELECTROCOM PTY LTD,13622243449,Electric cabling works,Management information systems MIS,4501041987,27-Mar-18,13-Mar-18,30-Mar-18,"19,692.20"
Department of Defence,CN3493658,,PRAECO PTY LTD,74112457673,Installation of data cable connections,Communications Devices and Accessories,4501041976,27-Mar-18,13-Mar-18,30-Sep-18,"21,379.45"
Department of Defence,CN3493659,,DEPARTMENT OF ENVIRONMENT LAND,90719052204,Contribution for the use of Yackandandah State For est,Roads and landscape,4501041975,27-Mar-18,1-Jul-17,30-Jun-18,"33,000.00"
Department of Defence,CN3493660,,WAGNITZ BUILDING SERVICES,49008267650,Electrical fitting services,Electrical services,4501041970,27-Mar-18,13-Mar-18,14-May-18,"41,211.50"
Department of Defence,CN3493661,,CIT SOLUTIONS PTY LTD,25008645823,English Language and Academic Tuition Program for Australian Defence College for 2017,Education and Training Services,4501041969,27-Mar-18,13-Mar-18,30-Jun-18,"55,141.63"
Department of Defence,CN3493662,,AUGILITY,87107783675,Project Management,Project management,4501042206,27-Mar-18,6-Mar-18,31-May-19,"112,707.10"
Department of Defence,CN3493663,,ATLASSIAN PTY LTD,53102443916,Scientific & Research Software,Software,4501042205,27-Mar-18,15-Mar-18,2-May-20,"59,159.75"
Department of Defence,CN3493664,,VIRTUAL SIMULATION SYSTEMS PTY LTD,40130991525,Simulation Training,Audio and visual presentation and composing equipment,4501042204,27-Mar-18,15-Mar-18,28-May-18,"23,078.00"
Department of Defence,CN3493665,,INDEPENDANT RENTALS,81742594246,Predeployment Training White Fleet Vehicle Hire,Vehicle rental,4501042203,27-Mar-18,15-Mar-18,30-Jun-18,"65,718.99"
Department of Defence,CN3493666,,CRAY INC.,ABN Exempt,DDN Storage Upgrade & Warranty,Mainframe computers,4501042200,27-Mar-18,15-Mar-18,25-May-18,"72,415.21"
Department of Defence,CN3493667,,FORDS STEEL,37809642841,Provision of Steel for use by Navy Technical Training students,Hardware,4501042199,27-Mar-18,15-Mar-18,30-Jun-18,"12,845.61"
Department of Defence,CN3493668,,DDLS,79122076877,Red Hat Administrator Course,Education and Training Services,4501042195,27-Mar-18,15-Mar-18,11-May-18,"38,362.50"
Department of Defence,CN3493669,,BROADSPECTRUM (AUSTRALIA),11093114553,Provision of DFI (Defence Fuel Installation) servi ces,Maintenance or support fees,4501042194,27-Mar-18,1-Jun-17,31-May-18,"11,995.56"
Department of Defence,CN3493670,,HERTZ AUSTRALIA PTY LTD,31004407087,Prov Hire Vehicles,Vehicle rental,4501042192,27-Mar-18,15-Mar-18,9-May-18,"114,608.53"
Department of Defence,CN3493671,,TELSTRA,33051775556,Site to Site link and Internet connection,Internet services,4501042191,27-Mar-18,15-Mar-18,29-Mar-19,"125,980.80"
Department of Defence,CN3493672,,FLEET CREW,55151696445,PROV HIRE VEHICLES,Vehicle rental,4501042190,27-Mar-18,23-Mar-18,30-Jun-18,"64,600.80"
Department of Defence,CN3493673,,COVERTEX LTD,ABN Exempt,PROVISION OF TRAINING AID,Environmental protection,4501042188,27-Mar-18,15-Mar-18,1-May-18,"38,228.00"
Department of Defence,CN3493674,SON706091,THE UNIVERSITY OF QUEENSLAND,63942912684,Interpreting Services and Equipment,Interpreters,4501042179,27-Mar-18,14-Mar-18,22-Mar-18,"15,841.00"
Department of Defence,CN3493675,,BESTECH AUSTRALIA PTY LTD,41101746463,NIDA Communications Training Equipment Proposal,Printed circuits and integrated circuits and microassemblies,4501042178,27-Mar-18,28-Feb-18,27-Apr-18,"107,115.80"
Department of Defence,CN3493676,SON48590,JACOBS AUSTRALIA PTY LTD,12079749287,External Service Provider under CASS Panel,Professional engineering services,4501042177,27-Mar-18,14-Mar-18,30-Jun-18,"41,116.80"
Department of Defence,CN3493677,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,Diesel Fuel,Fuels,4501042171,27-Mar-18,14-Mar-18,12-Apr-18,"19,969.20"
Department of Defence,CN3493678,,ASHURST AUSTRALIA,75304286095,DL0389/2017- Legal Services,Legal services,4501042169,27-Mar-18,6-Mar-18,30-Sep-18,"254,100.00"
Department of Defence,CN3493679,SON98662,TANNER JAMES MANAGEMENT,91063977284,Group training course,Strategic planning consultation services,4501042168,27-Mar-18,14-Mar-18,30-Jun-18,"14,730.00"
Department of Defence,CN3493680,,INTERWORLD ELECTRONICS AND COMPUTER,48007143722,Rack Mount Realtime Machines,Computers,4501042157,27-Mar-18,14-Mar-18,6-Apr-18,"17,820.00"
Department of Defence,CN3493681,,ACIDLABS,25051826810,User research consulting and training services,Information technology consultation services,4501042149,27-Mar-18,5-Feb-18,30-Mar-18,"60,000.00"
Department of Defence,CN3493682,,SECURE SYSTEMS LTD,11092978197,Secured portable storage and processing devices,Communications Devices and Accessories,4501042148,27-Mar-18,14-Mar-18,30-Jun-18,"20,867.00"
Department of Defence,CN3493683,,LEIDOS AUSTRALIA PTY LIMITED,79612590155,Contractor Services,Project management,4501042100,27-Mar-18,3-Apr-18,24-Dec-18,"130,130.00"
Department of Defence,CN3493684,,BLUESTAR PRINT,58000205210,LARGE FORMAT PRINTING,Printing,4501042101,27-Mar-18,14-Mar-18,3-Apr-18,"16,838.80"
Department of Defence,CN3493685,,DELL AUSTRALIA PTY LTD,46003855561,Dell Support,Computer hardware maintenance or support,4501042103,27-Mar-18,14-Mar-18,13-Feb-21,"25,190.00"
Department of Defence,CN3493686,,THE UNIVERSITY OF WOLLONGONG,61060567686,Research on Advanced Piezoelectric Materials,Military science and research,4501042104,27-Mar-18,14-Mar-18,1-Jul-18,"229,744.30"
Department of Defence,CN3493687,,VISY GLAMA PTY LTD,83077517581,LARGE FORMAT PRINTING,Printing,4501042105,27-Mar-18,14-Mar-18,3-Apr-18,"11,033.44"
Department of Defence,CN3493688,,REWARD DISTRIBUTION,40010183669,CATERING CONSUMABLES,Domestic kitchenware,4501042106,27-Mar-18,14-Mar-18,30-Apr-18,"10,378.85"
Department of Defence,CN3493689,,BROADSPECTRUM TRAINING SERVICES,29133064249,Delivery of Cert IV WHS Training,Education and Training Services,4501042108,27-Mar-18,19-Mar-18,23-Mar-18,"12,000.00"
Department of Defence,CN3493690,,AGILENT TECHNOLOGIES AUSTRALIA,29088510605,Laboratory equipment,Laboratory and scientific equipment,4501042110,27-Mar-18,14-Mar-18,6-Apr-18,"85,937.73"
Department of Defence,CN3493691,,KEYSIGHT TECHNOLOGIES AUSTRALIA,25167128878,Test Equipment,Measuring and observing and testing instruments,4501042111,27-Mar-18,14-Mar-18,30-Jun-18,"60,500.37"
Department of Defence,CN3493692,,DMV CONSULTING,88675004297,Provision of services for Freedom of Information case management,Temporary personnel services,4501042113,27-Mar-18,14-Mar-18,28-Jun-19,"57,024.00"
Department of Defence,CN3493693,,VMWARE AUSTRALIA PTY LTD,77122677089,74 x VMware vSAN licences including 12 months supp ort and maintenance,Software,4501042115,27-Mar-18,14-Mar-18,13-Mar-19,"551,452.44"
Department of Defence,CN3493694,,KING & WOOD MALLESONS,22041424954,DL0286/2017 - Legal Services,Legal services,4501042146,27-Mar-18,14-Mar-18,30-Jun-18,"104,418.20"
Department of Defence,CN3493695,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,GROUND FUEL,Fuels,4501042143,27-Mar-18,14-Mar-18,29-Mar-18,"21,135.71"
Department of Defence,CN3493696,,HP PPS AUSTRALIA PTY LTD,16603480628,Workstation,Computer Equipment and Accessories,4501042140,27-Mar-18,14-Mar-18,16-Apr-18,"26,678.52"
Department of Defence,CN3493697,,SPARKE HELMORE,78848387938,DL0424/2017- Legal Services,Legal services,4501042135,27-Mar-18,7-Mar-18,31-Mar-19,"460,020.00"
Department of Defence,CN3493698,,AMSI,84002705224,AMSI Internship,Data services,4501042132,27-Mar-18,14-Mar-18,31-Jul-18,"28,600.00"
Department of Defence,CN3493699,SON1700081,ICCPM SOLUTIONS PTY LTD,79613394997,STRATEGIC ADVISORY TEAM,Management advisory services,4501042116,27-Mar-18,19-Feb-18,31-Oct-18,"91,200.00"
Department of Defence,CN3493700,,OAKTON SERVICES PTY LTD,31100103268,Probity Services for Development Phase,Building construction and support and maintenance and repair services,4501042117,27-Mar-18,14-Mar-18,29-Jun-18,"33,440.00"
Department of Defence,CN3493701,,CHUBB FIRE & SECURITY,47000067541,Security Doors,Doors and windows and glass,4501042121,27-Mar-18,14-Mar-18,30-Jun-18,"60,000.00"
Department of Defence,CN3493702,,THE LEADERSHIP AND MANAGEMENT TEAM,39610522855,Team Optimisation Workshop,Education and Training Services,4501042124,27-Mar-18,27-Feb-18,30-Jun-18,"16,940.00"
Department of Defence,CN3493703,,AMARE SAFETY PTY LTD,67006945811,Protective Clothing,Clothing,4501042123,27-Mar-18,9-Mar-18,30-Apr-18,"53,280.00"
Department of Defence,CN3493812,,CANBERRA GIRLS GRAMR,67008559331,Education Assistance,Education and Training Services,VisaANZ0000026508588,27-Mar-18,5-Feb-18,13-Apr-18,"10,830.63"
Department of Defence,CN3493814,,FTI INC,ABN Exempt,ATP Course for FLTLT Kerle of ARDU. Course run by Flight Training International USA,Education and Training Services,VisaANZ0000026500056,27-Mar-18,16-Feb-18,30-Mar-18,"38,280.15"
Department of Defence,CN3493816,,CANBERRA GRAMMAR SCH,40684026062,Education Assistance,Education and Training Services,VisaANZ0000026438206,27-Mar-18,5-Feb-18,13-Apr-18,"11,831.48"
Department of Defence,CN3493818,,UCA - KINROSS WOLAROI,87938495176,Education Assistance,Education and Training Services,VisaANZ0000026436531,27-Mar-18,30-Jan-18,13-Apr-18,"11,758.00"
Department of Defence,CN3493821,,CANBERRA GIRLS GRAMR,67008559331,Education Assistance,Education and Training Services,VisaANZ0000026414559,27-Mar-18,5-Feb-18,13-Apr-18,"10,748.98"
Department of Defence,CN3493824,,UNIVERSITY OF TASMAN,30764374782,TUITION FEES,Education and Training Services,VisaANZ0000026414059,27-Mar-18,1-Feb-18,27-Dec-18,"11,052.00"
Department of Defence,CN3493825,,James Cook Uni/POST,46253211955,payment of tuition fees,Education and Training Services,VisaANZ0000026414039,27-Mar-18,1-Feb-18,31-Dec-18,"10,000.00"
Department of Defence,CN3493827,,PBP UOW FEES,61060567686,tuition fees,Education and Training Services,VisaANZ0000026414034,27-Mar-18,1-Feb-18,31-Dec-18,"10,000.00"
Department of Defence,CN3493828,,JOHNNY APPLESEED GPS,25104263498,SUPPLY OF GPS FOR MOTORCYCLES,Motorcycles,VisaANZ0000026379999,27-Mar-18,7-Feb-18,7-Feb-18,"10,000.00"
Department of Defence,CN3493923,SON3319690,A.S. HARRISON AND CO PTY LIMIT,89000030437,Lubricating oil,Lubricants and oils and greases and anti corrosives,B102CW,28-Mar-18,13-Mar-18,20-Mar-18,"17,355.79"
Department of Defence,CN3493924,,AERO PARTS AUSTRALIA,47780833006,Aeronautical Life Support Equipment,Personal safety and protection,6S56YC,28-Mar-18,16-Mar-18,10-May-18,"96,101.28"
Department of Defence,CN3493925,,AERO PARTS AUSTRALIA,47780833006,Aeronautical Life Support Equipment,Personal safety and protection,6S56YA,28-Mar-18,16-Mar-18,10-May-18,"80,382.72"
Department of Defence,CN3493926,,MARTIN-BAKER AUSTRALIA PTY LTD,61607288273,Aircraft Spare Parts,Military fixed wing aircraft,5A0UQV,28-Mar-18,13-Mar-18,5-Nov-18,"44,857.69"
Department of Defence,CN3493927,,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,Lubricating oil,Lubricants and oils and greases and anti corrosives,3S0NJY,28-Mar-18,16-Mar-18,19-Mar-18,"89,040.66"
Department of Defence,CN3493928,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,Lubricating oil,Lubricants and oils and greases and anti corrosives,3S0NJT,28-Mar-18,16-Mar-18,31-Mar-18,"19,604.20"
Department of Defence,CN3493929,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,Lubricating oil,Lubricants and oils and greases and anti corrosives,3S0NJS,28-Mar-18,16-Mar-18,31-Mar-18,"19,604.20"
Department of Defence,CN3493930,,FENDERCARE AUSTRALIA PTY LTD,14141400259,Gangways,Marine craft systems and subassemblies,3S0NE6,28-Mar-18,14-Mar-18,30-Apr-18,"11,060.50"
Department of Defence,CN3493931,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0ND9,28-Mar-18,12-Mar-18,26-Mar-18,"13,330.27"
Department of Defence,CN3493932,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0ND8,28-Mar-18,12-Mar-18,26-Mar-18,"16,284.84"
Department of Defence,CN3493933,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0ND7,28-Mar-18,12-Mar-18,26-Mar-18,"10,409.00"
Department of Defence,CN3493934,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0ND6,28-Mar-18,12-Mar-18,26-Mar-18,"32,868.33"
Department of Defence,CN3493935,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0NDR,28-Mar-18,12-Mar-18,26-Mar-18,"16,167.48"
Department of Defence,CN3493936,,BABCOCK PTY LTD,32050019817,Multiline,Military watercraft,3S0NDQ,28-Mar-18,12-Mar-18,26-Mar-18,"59,327.91"
Department of Defence,CN3493937,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0NDP,28-Mar-18,12-Mar-18,26-Mar-18,"15,710.06"
Department of Defence,CN3493938,,BABCOCK PTY LTD,32050019817,Multiline,Military watercraft,3S0NDO,28-Mar-18,12-Mar-18,9-Apr-18,"46,796.96"
Department of Defence,CN3493939,,BABCOCK PTY LTD,32050019817,Multiline,Military watercraft,3S0NDM,28-Mar-18,12-Mar-18,26-Mar-18,"18,957.14"
Department of Defence,CN3493940,,BABCOCK PTY LTD,32050019817,Multiline,Military watercraft,3S0NDL,28-Mar-18,12-Mar-18,26-Mar-18,"23,626.62"
Department of Defence,CN3493941,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0NDI,28-Mar-18,12-Mar-18,26-Mar-18,"24,517.79"
Department of Defence,CN3493942,,BABCOCK PTY LTD,32050019817,Multiline,Military watercraft,3S0NDG,28-Mar-18,12-Mar-18,9-Apr-18,"14,839.66"
Department of Defence,CN3493943,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0NDF,28-Mar-18,12-Mar-18,26-Mar-18,"21,079.28"
Department of Defence,CN3493944,,BABCOCK PTY LTD,32050019817,Multiline,Military watercraft,3S0NDD,28-Mar-18,12-Mar-18,26-Mar-18,"47,748.90"
Department of Defence,CN3493945,,BABCOCK PTY LTD,32050019817,Air Reducing Station Spares,Military watercraft,3S0NDC,28-Mar-18,12-Mar-18,26-Mar-18,"29,945.12"
