"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"1011","flooring",7,2,8,86,137,15,76,18
"1012","pump lubricating oils",23,12,26,17,111,25,208,227
"1013","sales or marketing programs",23,12,53,79,109,20,228,20
"1014","stationery or business form printing",25,20,35,62,64,32,244,127
"1015","new business start up consultation services",15,8,40,98,149,18,120,54
"1016","coin banks",14,36,89,21,91,16,71,205
"1017","laser measuring systems",17,27,100,13,92,150,241,220
"1018","paper wastes",14,36,77,21,129,96,32,91
"1019","industrial use gases",23,38,52,41,142,27,236,178
"1020","fire sprinkler systems",17,27,100,53,82,150,241,161
"1021","cyanides or isocyanides",14,36,89,35,110,16,71,165
"1022","base metals",24,29,89,26,41,16,71,205
"1023","gold",7,2,8,86,137,15,34,150
"1024","paperboard and packaging papers",23,12,78,21,129,111,126,91
"1025","silver ag",7,2,8,35,110,15,34,165
"1026","cold forming presses",23,12,53,41,87,20,12,20
"1027","packaging boxes and bags and pouches",25,20,35,62,64,32,210,198
"1028","copper strip",14,36,89,86,137,16,71,150
"1029","work benches",14,36,89,86,137,16,157,150
"1030","heating or drying equipment or accessories",11,32,34,75,36,102,182,128
"1031","conveyors and accessories",13,5,24,58,146,69,222,248
"1032","electronic counters",14,36,66,21,91,16,55,199
"1033","document storage services",1,50,31,98,141,80,119,106
"1034","vehicle transport services",1,50,28,98,149,80,119,160
"1035","nonhazardous waste disposal",23,12,53,21,91,37,98,205
"1036","industrial cleaning services",1,50,31,70,55,80,140,16
"1037","municipal electric power distribution",25,20,35,41,147,14,128,169
"1038","corporate divestiture consultation services",2,13,68,98,149,101,221,54
"1039","telecommunication equipment installation or modification kits",16,16,76,6,1,19,78,159
"1040","data base management system software",3,16,71,47,52,39,42,214
"1041","animal feed",14,36,89,86,137,16,71,150
"1042","elements and gases",14,36,89,86,137,16,71,150
"1043","permanent information technology systems or database administrators",4,48,55,5,94,126,242,90
"1044","internet service providers isp",2,13,68,98,149,101,221,106
"1045","meetings events",14,36,89,21,91,16,204,205
"1046","libraries and related materials",23,35,94,90,81,144,44,185
"1047","wide area network wan maintenance or support",4,48,55,47,66,126,28,30
"1048","contract law services",1,50,31,98,149,80,119,106
"1049","reference books",14,36,89,21,91,16,71,205
"1050","re training or refreshing training services",12,43,72,18,65,23,93,172
"1051","local telephone service",1,50,31,98,149,80,119,106
"1052","systems analysis",13,5,16,53,82,86,175,161
"1053","reading books and resources",23,12,53,64,87,20,29,44
"1054","mainframe computers",14,36,10,30,98,35,20,132
"1055","fluid and gas distribution",23,12,26,17,111,25,208,76
"1056","tickets or ticket rolls",16,16,42,86,137,57,224,150
"1057","family law services",1,50,31,98,149,80,119,106
"1058","social justice or legislation services",2,13,68,98,149,101,221,106
"1059","temporary production staffing needs",25,20,35,62,72,98,22,184
"1060","customs conventions",14,36,89,21,91,16,71,205
"1061","closed circuit television services",2,13,68,98,149,101,221,106
"1062","computer vocational training services",2,13,11,87,63,50,160,148
"1063","administration software",14,39,95,91,126,62,197,126
"1064","tax accounting",14,36,89,21,127,78,188,176
"1065","electronic computers or data processing equipment manufacture services",12,43,50,29,51,40,56,80
"1066","computer support organisation",23,12,6,96,74,21,125,122
"1067","corrugated and other supplies for distribution",23,30,19,63,145,36,248,162
"1068","social security legislation services",2,13,68,94,63,101,221,189
"1069","port connection panels",23,12,53,41,87,20,12,20
"1070","electronics vocational training services",2,13,11,87,63,50,160,148
"1071","electronic media or data duplicating equipment",16,16,76,6,1,19,78,25
"1072","sandbags or sandbag sets for rehabilitation or therapy",5,18,80,41,87,71,54,20
"1073","interactive voice response service",2,13,68,94,63,101,221,189
"1074","criminal law services",1,50,31,98,149,80,119,106
"1075","trade projections",14,36,85,21,91,3,127,205
"1076","fine arts",14,36,89,21,91,16,37,205
"1077","computer or office equipment cleaning kit",16,16,76,6,1,19,78,159
"1078","sales marketing agencies including print",16,16,42,47,66,57,224,112
"1079","digital voice recorders",23,12,53,41,87,20,207,20
"1080","employment services",10,46,54,92,99,51,109,1
"1081","archaic or indigenous language services",2,13,68,92,99,101,221,1
"1082","interactive whiteboards or accessories",18,30,48,58,146,11,176,248
"1083","sports event promotion and sponsorship",25,20,35,62,64,32,210,127
"1084","labour training or development",23,12,53,79,38,29,172,20
"1085","instruction sheets or booklets",23,12,53,79,87,20,12,239
"1086","housings and cabinets",14,36,89,21,91,16,71,205
"1087","international labour registration services",2,13,68,94,63,101,221,189
"1088","barriers",7,2,8,86,137,15,34,150
"1089","tufted carpeting",14,36,89,86,137,16,71,99
"1090","integrated maintenance information systems",25,47,7,4,11,12,233,101
"1091","sponsorship of event or celebrity",23,12,53,21,91,20,12,205
"1092","sales and business promotion activities",25,20,35,62,64,32,244,127
"1093","production logging downhole video services",15,8,40,94,114,125,52,154
"1094","network gateway",14,36,89,21,91,135,107,67
"1095","database design",14,36,89,21,91,16,194,205
"1096","military rifles",14,36,89,86,137,74,130,234
"1097","water storage tanks",23,12,57,40,9,55,103,153
"1098","configuration management software",23,14,56,91,126,22,162,19
"1099","blank tapes",14,36,89,21,91,108,121,205
"1100","general goods storage",23,12,57,40,87,55,103,153
"1101","data base reporting software",25,3,91,39,77,49,86,10
"1102","project management software",23,14,56,99,105,22,162,179
"1103","tablet computers",14,36,10,55,132,35,20,104
"1104","permanent professional staff",23,12,53,41,87,20,12,20
"1105","internet or intranet client application development services",12,43,72,67,29,99,93,94
"1106","communications vocational training services",2,13,11,87,63,50,160,148
"1107","digital acoustic logging services",2,13,68,98,149,101,221,106
"1108","operating system software",17,27,100,34,92,150,156,77
"1109","chemical absorption gas analysers",25,20,35,17,111,32,210,76
"1110","management staff associations",23,12,56,64,9,54,209,134
"1111","printer or facsimile or photocopier cleaning supplies",16,16,9,51,66,57,112,149
"1112","in plant offices",14,36,89,21,93,16,163,147
"1113","warehouse stores",14,36,89,21,91,16,71,205
"1114","workmens insurance",14,36,89,86,137,16,71,150
"1115","criminal case fees or fines",25,20,35,62,64,32,210,127
"1116","family planning programs or services",2,13,5,94,63,2,9,68
"1117","clerical training",14,36,89,21,91,16,116,193
"1118","modem software",14,39,95,91,126,62,197,126
"1119","teacher training services",1,50,23,70,15,63,27,229
"1120","emergency medical services supplies",2,13,68,94,63,101,189,189
"1121","defence or criminal law services",2,13,68,94,63,101,221,189
"1122","permanent legal staffing needs",25,20,35,62,72,32,22,127
"1123","safety or security systems installation",25,47,7,4,11,12,181,101
"1124","mainframe software applications design",25,3,91,39,77,49,86,8
"1125","mass communication services",1,50,31,98,149,80,119,106
"1126","common fund for commodities services",2,13,68,98,149,101,221,106
"1127","pay phone provider services",2,13,68,98,149,101,221,106
"1128","fair stands creation or construction",25,20,35,62,64,32,210,127
"1129","technical manual or instruction sheet printing",16,16,42,47,66,57,224,112
"1130","concept model",14,36,89,21,91,16,71,205
"1131","automobiles or cars",14,36,89,21,91,16,71,205
"1132","basic operations models",23,12,53,41,87,20,12,20
"1133","emergency medical services disaster management products",12,43,72,67,29,23,93,61
"1134","driving and flying and sailing",23,12,53,86,137,20,12,150
"1135","filter media",14,36,89,21,91,16,71,205
"1136","bulk storage",14,22,61,22,89,93,168,115
"1137","telephone switchboard part kits",25,20,35,62,64,115,203,152
"1138","photocopying",7,2,25,86,137,127,87,102
"1139","freestanding furniture",14,22,84,21,91,141,99,147
"1140","binder or bulldog clips",23,12,53,21,91,20,12,205
"1141","relationship building or family life skills instructional materials",5,18,80,11,40,71,150,90
"1142","library software",14,39,95,91,126,62,197,126
"1143","liquid crystal display lcd panels or monitors",4,48,55,62,64,126,17,127
"1144","network monitoring software",23,14,51,71,105,82,136,179
"1145","data storage and backup",23,12,57,40,87,55,103,153
"1146","computer programmed instruction",23,12,6,79,74,21,92,122
"1147","urban project or program administration or management services",12,43,72,67,29,23,93,61
"1148","client or server programming services",2,13,5,94,63,2,9,68
"1149","on line data processing",23,12,17,41,87,20,35,175
"1150","personal care products",23,12,46,36,150,119,198,207
"1151","media placement and fulfilment",23,12,53,86,137,20,207,150
"1152","directory assistance services",1,50,31,98,37,80,119,106
"1153","computer based simulation training program services",12,43,72,67,29,23,93,94
"1154","legal assistance services",1,50,31,98,37,80,119,106
"1155","development assistance",14,36,89,21,91,16,141,84
"1156","plumbing and heating and air conditioning",25,20,35,62,64,32,210,198
"1157","voter registration or counting or analysis or scrutiny services",12,43,72,94,63,23,93,189
"1158","certificates",7,2,8,86,137,15,34,150
"1159","administrative procedures or services",21,50,23,92,99,80,84,1
"1160","ammunition",7,2,8,86,137,15,34,150
"1161","military police training",23,12,53,79,38,29,172,232
"1162","safes",7,2,8,35,110,15,34,165
"1163","chairs",7,2,8,86,137,15,34,150
"1164","police services",10,46,54,92,99,51,109,1
"1165","network cable",14,21,37,21,91,146,107,216
"1166","roofing installation or repair",23,12,53,41,87,20,48,20
"1167","professional standards review boards",25,20,35,62,64,32,210,127
"1168","water",7,11,49,46,39,140,201,64
"1169","data storage",14,22,61,22,89,93,168,115
"1170","quarterly reviews",14,36,89,86,137,16,71,150
"1171","oss wireless access network equipment and components",4,48,32,6,26,75,74,97
"1172","security or financial instruments printing",25,20,35,62,64,32,244,32
"1173","surveying systems",13,5,16,53,82,86,175,161
"1174","lan software",14,39,95,91,126,62,197,126
"1175","alarm systems",13,5,16,53,82,86,175,161
"1176","keys",7,2,8,86,137,15,34,150
"1177","procurement or supply chain training",25,20,96,23,50,147,25,215
"1178","general educational facility fixtures",25,20,35,62,64,32,8,127
"1179","cabinets",7,2,8,86,137,15,151,150
"1180","machine made parts",23,12,74,24,48,66,129,113
"1181","technical cooperation services",1,50,31,98,149,80,119,106
"1182","international business associations",23,12,53,41,87,20,199,20
"1183","division activity or resource books",25,20,35,64,87,116,244,44
"1184","educational or vocational textbooks",23,12,53,41,87,134,12,20
"1185","personal communications device accessories or parts",16,16,81,47,20,45,70,142
"1186","terminal services",10,46,54,92,99,51,109,1
"1187","bulk transporters",14,7,84,56,30,77,178,197
"1188","wireless internet gateway",23,12,53,41,87,20,12,20
"1189","military education",14,36,67,21,148,74,83,196
"1190","telecommunications cable",14,21,37,21,91,146,193,216
"1191","outside plant telecommunications cable",25,20,35,41,87,32,210,245
"1192","automotive computer systems",17,27,100,13,92,150,241,220
"1193","pharmaceutical filters or ultra filters",4,48,55,47,66,126,17,62
"1194","office machinery or equipment manufacture services",15,8,40,42,76,92,220,180
"1195","diplomats security services",1,50,31,92,99,80,119,47
"1196","temporary medical staffing needs",25,20,35,62,72,32,22,127
"1197","completion tools and equipment",19,6,87,20,3,17,47,247
"1198","personal computer television pc tv tuners",25,20,35,96,74,129,50,122
"1199","consumer electronics",14,36,66,21,91,16,55,199
"1200","telecommunication devices tdd or teletypewriters tty  for the physically challenged",5,18,80,62,88,71,54,2
"1201","power supply transformers",23,30,19,65,128,36,248,206
"1202","industrial machinery components and accessories",25,20,92,50,113,137,177,45
"1203","storage tanks",14,22,61,22,89,93,168,115
"1204","oil pumps",14,36,89,21,112,64,66,50
"1205","facsimile units for office machines",25,20,35,62,64,32,210,127
"1206","forest or wilderness firefighting services",2,13,68,92,99,101,221,1
"1207","rescue service station",1,50,31,98,149,80,119,106
"1208","expert system software",17,27,100,53,82,150,156,161
"1209","emergency medical services long distance response ldr trauma packs",9,37,41,29,51,100,19,80
"1210","termite control services",1,50,31,92,99,80,119,66
"1211","network channel or data service units",15,8,40,94,63,18,120,189
"1212","metal heating services",1,50,31,98,149,80,119,106
"1213","ground support training systems",25,47,7,4,11,12,181,101
"1214","sterilisation biological kits",23,12,53,44,18,59,85,17
"1215","ground support test or maintenance systems",20,16,71,47,52,39,212,151
"1216","anti foaming agents",23,12,53,41,87,20,12,20
"1217","systems integration design",17,27,100,13,92,150,241,220
"1218","airport buildings",14,34,89,21,91,16,138,233
"1219","sign holders or stands",23,12,53,41,87,20,115,20
"1220","understanding community service instructional materials",15,8,40,18,65,18,120,79
"1221","engine components and accessories",18,30,48,9,119,110,176,235
"1222","mobile location based services software",15,8,40,18,65,18,120,40
"1223","personal communication devices",23,12,53,96,109,20,185,93
"1224","trade facilitation",14,36,85,21,91,3,127,205
"1225","social welfare services",1,50,31,92,99,80,119,1
"1226","theological seminaries",14,36,89,35,110,16,71,165
"1227","cabbing equipment",14,10,86,81,75,148,200,195
"1228","general purpose cleaners",23,12,53,41,87,20,12,20
"1229","electronic magazines",14,36,66,21,91,16,55,199
"1230","mobile internet services software",2,13,68,94,114,101,72,189
"1231","electronic manufacturing machinery and equipment and accessories",16,16,76,6,69,26,101,52
"1232","camera accessories",13,5,24,58,146,69,222,248
"1233","food service dinnerware",1,50,31,92,99,80,119,1
"1234","schools",7,2,8,86,137,15,34,150
"1235","offset printing presses",23,12,53,41,87,136,24,98
"1236","engine oil",14,42,84,21,95,64,66,31
"1237","electric lead wires or cables",25,20,35,62,64,14,128,26
"1238","conveyor flights or links",23,12,53,41,87,20,12,20
"1239","temporary sourcing and logistics services",2,13,68,94,63,101,221,189
"1240","range research",14,36,58,86,137,117,71,150
"1241","engine or engine parts teaching aids or materials",5,18,41,32,68,42,23,244
"1242","network connectivity terminal emulation software",3,16,45,39,77,9,110,8
"1243","women staff associations",23,12,53,41,87,20,12,20
"1244","asbestos decontamination or removal",23,12,53,41,87,20,12,20
"1245","computer data input devices",25,20,35,1,44,129,50,222
"1246","video networking equipment",19,6,87,20,33,17,3,241
"1247","cats",7,2,8,35,110,15,34,165
"1248","individual health assessment",23,12,53,41,87,20,12,118
"1249","personal accommodation item dispensers",25,20,35,96,109,32,210,93
"1250","computer printout paper",23,12,78,30,98,111,92,132
"1251","system installation",13,5,16,53,82,86,175,161
"1252","fax software",14,39,95,73,79,62,197,38
"1253","internet directory services software",2,13,68,94,114,101,72,189
"1254","funds transfer and clearance and exchange services",15,8,40,18,65,18,120,157
"1255","manufacturing equipment repair services",8,13,97,10,139,124,13,209
"1256","radio frequency data communication equipment",16,16,76,6,1,19,78,25
"1257","computer support storage accessories",25,20,92,50,113,137,177,72
"1258","geology and earth science",23,12,53,21,91,20,12,205
"1259","audio visual instruments for well inspection",16,16,42,47,66,57,231,62
"1260","practical teen advice guides",25,20,35,41,87,32,210,20
"1261","maintenance of international peace and security",25,20,35,96,87,129,187,175
"1262","medical imaging processing equipment and supplies",16,16,76,6,2,26,101,28
"1263","analogue telephones",14,36,89,86,137,16,71,150
"1264","special interest newsletter services",2,13,68,92,99,101,221,1
"1265","power cable installation and supply",25,20,96,23,50,147,25,215
"1266","oil and gas engineering",23,12,26,17,111,25,208,227
"1267","other domestic household appliances",23,12,53,21,91,20,58,41
"1268","magazine advertising",14,41,89,21,136,121,206,202
"1269","students travelling organisations",23,12,53,21,91,33,80,205
"1270","mine development",14,36,89,21,91,16,141,84
"1271","medical gas products",23,12,46,36,150,119,198,42
"1272","compliance software",14,39,95,91,126,62,197,126
"1273","plumbing or sewer inspection service",2,13,68,94,63,101,221,189
"1274","office administration or secretarial services",2,13,68,15,84,101,221,14
"1275","newspaper or advertising material delivery services",15,8,40,18,65,18,120,79
"1276","private or business jet aircraft",25,20,35,62,46,32,186,190
"1277","report covers",14,36,89,21,91,16,71,218
"1278","supply of water",14,36,37,65,128,6,246,206
"1279","combination digital video disc dvd video cassette disc vcd compact disc cd player",9,1,43,52,27,73,174,71
"1280","service water",10,46,59,92,99,81,226,83
"1281","photoconductor or imaging units",23,12,53,21,83,20,207,41
"1282","fire fighting equipment",19,6,87,20,3,17,47,247
"1283","third party warranty",23,12,53,21,91,20,12,205
"1284","application server software",23,14,51,71,105,82,205,179
"1285","aids for medical training",23,12,53,89,38,123,94,237
"1286","program testing software",23,14,51,71,105,82,205,179
"1287","knotted carpeting",14,36,89,86,137,16,71,99
"1288","art design services",1,50,31,98,149,80,88,12
"1289","impoundment or storage of water services",2,40,68,98,141,142,153,106
"1290","cellular telephone services",1,50,31,92,99,80,119,1
"1291","utility service vehicles",1,50,28,98,149,80,119,160
"1292","sports and health structures",23,12,53,41,87,20,12,118
"1293","integrated services digital network isdn testers",12,43,72,67,29,23,93,94
"1294","profiles",7,2,8,35,110,15,34,165
"1295","exploration and development systems",17,27,100,13,92,150,241,220
"1296","infant or child daycare services",2,13,68,92,99,101,221,1
"1297","service area building",1,50,31,98,55,80,158,168
"1298","multipurpose business book",23,12,53,21,100,20,199,205
"1299","funds clearance services",1,50,31,98,149,80,119,106
"1300","vehicle parking services",1,50,28,98,149,80,119,160
"1301","electronic learning aids",23,12,53,41,31,20,214,105
"1302","emergency and field medical services kits",15,8,40,18,65,125,52,140
"1303","crossconnection functionality",14,36,89,86,137,16,71,150
"1304","primary care physicians emergency medical services",12,43,72,18,65,23,93,140
"1305","directional survey services",1,50,31,98,149,80,119,106
"1306","coffee brewing equipment or supplies",11,32,34,82,3,102,180,56
"1307","garden planting or maintenance services",8,13,13,94,7,101,89,69
"1308","temporary drivers",14,36,89,21,91,16,71,205
"1309","point of purchase signs",23,12,53,86,137,20,115,150
"1310","scrap and waste materials",23,35,94,90,81,144,44,185
"1311","powered fixed wing aircraft",25,20,35,62,46,14,186,190
"1312","computer data input device accessories",16,16,81,47,20,45,70,142
"1313","fishing boats",14,36,89,21,91,16,71,205
"1314","exterior painting services",1,50,31,98,149,80,119,106
"1315","patent or trademark or copyright law",25,20,35,86,137,32,210,150
"1316","tuition reimbursement programs",23,12,53,86,137,20,228,163
"1317","market research telephone surveys",25,20,35,62,64,143,2,127
"1318","public health administration",23,12,53,41,87,97,79,118
"1319","police uniforms",14,36,89,21,91,16,71,205
"1320","multi function upgrades",23,12,53,41,87,20,12,20
"1321","flat files",14,36,89,21,91,16,71,205
"1322","research or testing facilities",23,12,53,89,116,134,149,116
"1323","impurity removal services",1,50,31,92,99,80,119,1
"1324","business facilities oversight",23,12,53,41,87,20,199,20
"1325","building component cleaning services",2,13,68,94,63,101,221,189
"1326","water or gas control services",2,40,68,94,47,142,153,88
"1327","diesel freight locomotives",23,12,53,41,87,20,12,20
"1328","chemistry vocational training services",2,13,11,87,63,50,160,148
"1329","ferry terminal building",23,12,93,21,91,54,144,233
"1330","civil case court expenses",25,20,35,41,87,32,210,20
"1331","political systems and institutions",17,27,100,13,92,150,241,220
"1332","digital printing",14,26,70,3,140,109,183,59
"1333","speech specialists services",1,50,31,98,149,80,119,106
"1334","occupational therapy services",1,50,31,98,149,80,119,106
"1335","healthcare provider support persons",25,20,35,1,64,129,210,222
"1336","pharmacists",7,2,8,35,110,15,34,165
"1337","energy conservation",14,36,89,21,91,16,157,205
"1338","ophthalmologists services",10,46,54,72,58,51,109,60
"1339","primary care practitioners services",2,13,68,98,149,101,221,106
"1340","computer support furniture",23,12,6,96,74,21,125,122
"1341","translation labelling accessories",18,30,48,9,119,11,176,235
"1342","marketing analysis",14,36,58,48,138,117,118,144
"1343","hardware and fittings",14,36,89,21,91,16,71,205
"1344","video creation and editing software",25,3,91,39,77,49,86,8
"1345","securing and protecting supplies",23,30,19,63,145,36,248,162
"1346","gateway software",14,39,95,91,126,62,197,126
"1347","isdn integrated services digital network services",5,18,83,29,51,40,137,80
"1348","web search engine providers",25,20,35,62,64,32,210,127
"1349","sap",7,2,8,35,110,15,34,165
"1350","vehicle driving schools services",2,13,68,94,63,101,221,189
"1351","video conferencing software",23,14,51,91,126,82,205,126
"1352","storage and handling equipment and supplies",11,32,34,23,54,102,180,226
"1353","marketing plans",14,36,58,48,86,117,118,144
"1354","building cable",14,34,37,21,91,146,138,233
"1355","database information retrieval",23,12,53,41,87,20,115,238
"1356","trade expansion",14,36,85,86,137,3,127,150
"1357","wlan wireless access network equipment and components",4,48,32,6,26,75,74,97
"1358","corporate finance",14,36,89,21,91,16,71,205
"1359","university and colleges",14,36,89,86,137,16,71,150
"1360","non scientific vocational training services",15,8,40,18,65,18,120,172
"1361","local area network communications design",16,16,42,47,66,57,15,30
"1362","electronic publications and music",23,12,53,41,31,20,214,105
"1363","electric power systems installation or service",15,15,40,18,65,41,132,109
"1364","product testing",14,21,77,38,21,43,247,171
"1365","test equipment refurbishment",19,6,87,20,3,17,47,247
"1366","telephony equipment",14,10,86,81,75,148,200,195
"1367","database analysis",14,36,89,21,138,16,118,205
"1368","data management and query software",25,3,91,39,77,49,86,10
"1369","power supply units",23,30,19,63,145,36,248,162
"1370","requirements analysis and system architecture software",3,16,71,47,52,39,42,214
"1371","economic analysis",14,36,89,21,138,16,118,205
"1372","teacher resource materials",23,35,94,90,81,144,44,185
"1373","information retrieval or search software",25,3,91,39,77,49,86,8
"1374","vertical blinds",14,36,89,86,137,16,71,150
"1375","content management software",23,14,56,99,105,22,162,179
"1376","interior plant landscaping services",2,13,68,94,63,101,221,189
"1377","financial accounting",14,36,89,21,127,78,188,176
"1378","product and material transport vehicles",25,20,2,62,34,98,173,34
"1379","evening courses",14,36,89,35,110,16,71,165
"1380","communication wiring harness",23,12,53,41,87,20,185,20
"1381","guarantee agreements",14,36,89,35,110,16,71,165
"1382","switch boxes",14,36,89,21,91,78,57,205
"1383","security cameras",14,36,89,21,91,118,26,6
"1384","civilian and commercial rotary wing aircraft",16,16,42,62,46,57,224,190
"1385","scanners",7,2,8,86,137,15,34,150
"1386","tool attachments and accessories",18,30,48,58,146,11,176,9
"1387","manufacture of machinery",14,36,63,43,59,61,202,87
"1388","black and white copy or collating services",15,8,40,98,149,18,120,106
"1389","mobile healthcare centres or services",2,13,68,94,63,101,221,189
"1390","customs uniforms",14,36,89,21,91,16,71,205
"1391","marine craft communications systems",25,47,7,4,11,12,181,101
"1392","fishing ship or boat building services",15,8,40,18,65,18,120,157
"1393","career education or planning or decision making skills instructional materials",5,18,41,57,14,42,23,51
"1394","roller conveyors",14,36,89,86,137,16,71,150
"1395","public finance",14,36,89,21,91,16,71,205
"1396","fire alarm systems",17,27,100,13,92,150,241,220
"1397","oil and gas extraction and production enhancement services",12,43,72,67,29,23,93,61
"1398","trade information services",1,50,36,98,149,80,164,181
"1399","network service equipment",1,33,27,77,17,53,170,35
"1400","recycling services",10,46,54,72,58,51,109,60
"1401","machinery dust covers",23,45,93,43,59,1,215,87
"1402","mounting hardware",14,36,89,21,91,16,71,205
"1403","temporary engineering services",1,50,36,98,57,80,164,145
"1404","fitness equipment",14,10,86,81,75,148,200,195
"1405","engines",7,2,8,86,137,5,105,95
"1406","political legislature services",1,50,31,92,99,80,119,1
"1407","desk supplies",14,36,37,65,128,6,246,206
"1408","government departments services",1,50,31,92,99,80,119,1
"1409","world wide web www site operation host services",5,18,83,29,51,100,137,80
"1410","graphite pencils",14,36,89,35,110,16,71,165
"1411","labels",7,2,8,86,137,15,154,150
"1412","public sector manpower development services",15,8,40,18,65,18,120,157
"1413","charts or maps or atlases",23,12,53,86,137,20,12,150
"1414","projectors and supplies",14,36,37,65,128,6,246,206
"1415","addressing service",10,46,54,92,99,51,109,1
"1416","surface data logging units",25,20,35,62,64,32,210,127
"1417","humanitarian aid and relief",23,12,53,21,91,20,12,205
"1418","photographic or filming or video equipment",11,32,20,75,36,88,33,58
"1419","apparel and luggage and personal care products",16,16,42,51,104,57,31,65
"1420","civic organisations and associations and movements",25,20,35,62,64,32,210,127
"1421","animal containment and habitats",23,12,53,21,91,20,12,205
"1422","assessment resource books",23,12,53,64,87,20,29,44
"1423","viewing and observing instruments and accessories",25,20,92,9,119,137,177,235
"1424","two way radios",23,12,53,41,87,20,12,20
"1425","portable toilettes",14,36,89,35,110,16,71,165
"1426","janitorial equipment",14,10,86,81,75,148,200,195
"1427","market research paper surveys",25,20,35,62,64,143,2,127
"1428","biotechnology and bio chemistry and genetics and microbiology and related materials",5,18,80,62,34,71,150,139
"1429","cost accounting",14,36,89,86,137,78,188,150
"1430","exchange datacom modules",23,12,53,21,91,20,12,205
"1431","transceivers and media converters",23,12,53,86,137,20,207,150
"1432","pharmaceutical research services",1,50,36,98,149,47,53,106
"1433","aid financing",14,36,89,21,91,16,71,205
"1434","non motorised cycles",23,12,53,41,87,20,80,86
"1435","photographic filmmaking supplies",23,30,19,65,128,36,248,206
"1436","industrial production and manufacturing services",2,13,47,94,114,101,134,154
"1437","roads and landscape",14,36,89,21,91,16,71,205
"1438","exterior finishing materials",23,35,94,90,81,144,44,185
"1439","x ray radiography examination equipment",11,32,20,20,3,88,33,247
"1440","houses",7,2,8,86,137,15,34,150
"1441","business associations",14,36,1,21,100,78,239,205
"1442","employee education",14,36,67,21,148,135,83,196
"1443","pension funds",14,36,89,21,91,16,71,205
"1444","electrical hardware and supplies",23,30,19,63,145,36,248,162
"1445","fishery research or experimentation services",2,13,68,94,63,101,221,189
"1446","fishery resources protection or conservation",25,20,35,62,64,116,244,127
"1447","fishery data collection or distribution",25,20,35,62,64,32,210,127
"1448","read only digital versatile disc dvd",16,16,42,47,66,57,224,62
"1449","paintings",7,17,64,86,137,104,135,27
"1450","resources for learning to speak english",25,20,35,21,91,116,244,205
"1451","character education resource materials",25,20,2,62,34,65,67,139
"1452","promotion of human rights services",2,13,68,98,149,101,221,181
"1453","desks",7,2,8,86,137,15,34,150
"1454","computer switch boxes",23,12,6,96,74,21,92,122
"1455","internet browser software",23,14,51,91,126,82,205,126
"1456","gasoline or petrol",14,36,89,35,110,16,71,165
"1457","software coding",14,39,95,91,126,62,197,126
"1458","subway transport",14,7,84,86,137,77,178,74
"1459","accounting software",14,39,95,91,126,62,197,126
"1460","roll up shades",14,36,89,21,91,16,71,205
"1461","furniture tops or work surfaces",25,20,35,62,64,32,210,127
"1462","network switches",14,36,89,21,91,135,107,67
"1463","tables",7,2,8,86,137,15,34,150
"1464","sofas",7,2,8,35,110,15,34,165
"1465","data binder racks",23,12,17,41,87,20,35,20
"1466","art gallery",14,36,89,86,137,16,37,150
"1467","educational exchanges",14,36,67,21,148,135,83,196
"1468","computer displays",14,36,10,30,98,35,20,132
"1469","network management software",23,14,56,99,105,22,162,179
"1470","broadcast advertising",14,41,89,21,136,121,206,202
"1471","operating environment software",23,14,51,71,105,82,205,179
"1472","laboratory vials",14,36,89,86,137,16,71,150
"1473","nuclear reactor equipment",19,6,87,20,3,17,47,247
"1474","fuel for nuclear reactors",23,12,53,41,87,20,12,20
"1475","pneumatic vacuum equipment",19,6,87,20,3,17,47,247
"1476","trade or service directory or yellow page advertising",12,43,72,18,65,23,93,157
"1477","art related services",1,50,75,98,125,80,88,103
"1478","touch screen monitors",23,12,53,21,91,20,12,205
"1479","film badges",14,36,89,21,91,16,71,205
"1480","spectrometers",7,2,8,35,110,15,34,165
"1481","network security or virtual private network vpn management software",9,37,69,69,12,122,30,183
"1482","camping and outdoor equipment",19,6,87,20,3,17,47,247
"1483","scanning probe microscopes",23,12,53,86,137,20,12,150
"1484","monochromators",7,2,8,35,110,15,34,165
"1485","medical radioisotope scanners",23,12,53,89,87,123,94,237
"1486","tamper proof or security seals",25,20,35,96,87,32,244,175
"1487","radiation detectors",14,36,89,21,91,16,71,205
"1488","detectors",7,2,8,86,137,15,34,150
"1489","medical linear accelerator intensity modulated radiation therapy imrt products",9,37,41,57,14,42,122,51
"1490","map creation software",23,14,51,71,105,82,205,179
"1491","gamma counters",14,36,89,86,137,16,71,150
"1492","dosimetry equipment",14,10,86,84,70,148,200,213
"1493","switches and controls and relays and accessories",25,20,92,50,113,137,177,45
"1494","washers",7,2,8,86,137,15,34,150
"1495","multi gas monitors",23,12,26,17,111,25,208,76
"1496","ionisation chambers",14,36,89,35,110,16,71,165
"1497","frame relay telecommunications service",2,13,68,94,63,101,221,189
"1498","phantom dosimeters",14,36,89,35,110,16,71,165
"1499","health legislation or regulations",23,12,53,41,87,20,12,118
"1500","controller switches",14,36,89,16,90,8,37,100
"1501","quality control",14,36,89,16,90,8,37,100
"1502","network security and virtual private network vpn equipment software",9,37,69,69,12,122,30,183
